train_epoch,50
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/gpt
log_root,../output/logs/_gpt
modal,multi
model_name,hsi_lidargpt
log_name,hsi_lidargpt
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
gpu,0
version,0
identity,gpt
name,hsi_lidargpt
train_epoch,50
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/gpt
log_root,../output/logs/_gpt
modal,multi
model_name,hsi_lidargpt
log_name,hsi_lidargpt
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
gpu,0
version,0
identity,gpt
name,hsi_lidargpt
train_epoch,50
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/gpt
log_root,../output/logs/_gpt
modal,multi
model_name,hsi_lidargpt
log_name,hsi_lidargpt
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
gpu,0
version,0
identity,gpt
name,hsi_lidargpt
train_epoch,50
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/gpt
log_root,../output/logs/_gpt
modal,multi
model_name,hsi_lidargpt
log_name,hsi_lidargpt
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
gpu,0
version,0
identity,gpt
name,hsi_lidargpt
train_epoch,50
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/gpt
log_root,../output/logs/_gpt
modal,multi
model_name,hsi_lidargpt
log_name,hsi_lidargpt
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
gpu,0
version,0
identity,gpt
name,hsi_lidargpt
train_epoch,50
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/gpt
log_root,../output/logs/_gpt
modal,multi
model_name,hsi_lidargpt
log_name,hsi_lidargpt
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
gpu,0
version,0
identity,gpt
name,hsi_lidargpt
0.0,0.012216,0.06343611343611344,-0.0008397389548340631,0
2.773829069030419,0.057801,0.07518964756679175,0.00447596324889818,0
2.685269529899854,0.272526,0.26445291427304934,0.2237729603137735,0
2.482227689764473,0.379356,0.406823885742384,0.33751976289394847,0
train_epoch,300
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/gpt
log_root,../output/logs/_gpt
modal,multi
model_name,hsi_lidargpt
log_name,hsi_lidargpt
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
gpu,0
version,0
identity,gpt
name,hsi_lidargpt
0.0,0.012216,0.06343611343611344,-0.0008397389548340631,0
2.773829069030419,0.057801,0.07518964756679175,0.00447596324889818,0
2.6852500492267395,0.272854,0.26470890683616777,0.22413887942645921,0
2.482224759091152,0.379766,0.4071383824999574,0.33795913864772403,0
2.266476615091388,0.465688,0.4982412287461866,0.4281523563513524,0
2.0278941620601696,0.567189,0.6032804111759321,0.5351226896063036,0
1.7679694730244326,0.609904,0.6485306313786524,0.5812486229827472,0.609904
1.5186137684275596,0.625236,0.6688106553637382,0.5976858489696053,0.625236
